business,category,sales,date
RetailCorp,electronics,145.8,14-03-2024
RetailCorp,beauty,177,07-07-2029
RetailCorp,online,210.5,04-01-2021
RetailCorp,online,220.6,20-11-2026
RetailCorp,clothing,230.7,24-02-2015
RetailCorp,online,199.9,17-03-2033
RetailCorp,food,209.9,19-07-2033
RetailCorp,online,196.8,24-12-2028
RetailCorp,sports,177.6,05-04-2021
RetailCorp,furniture,177.4,07-03-2031
RetailCorp,sports,147.9,09-02-2021
RetailCorp,clothing,124.1,21-03-2020
RetailCorp,food,178.6,02-08-2015
RetailCorp,toys,257.7,16-01-2030
RetailCorp,furniture,187.5,19-11-2019
RetailCorp,beauty,263.3,13-02-2028
RetailCorp,stationery,257.7,10-12-2017
RetailCorp,sports,206.5,03-03-2020
RetailCorp,beauty,201.5,02-10-2022
RetailCorp,clothing,154.6,24-03-2021
RetailCorp,beauty,158.4,24-03-2016
RetailCorp,online,222.2,25-03-2033
RetailCorp,sports,152.6,25-04-2015
RetailCorp,online,185.2,07-05-2015
RetailCorp,toys,259.2,30-07-2032
RetailCorp,food,158.8,03-01-2017
RetailCorp,food,173.5,12-02-2022
RetailCorp,electronics,305.6,29-12-2030
RetailCorp,beauty,109.1,29-10-2029
RetailCorp,sports,163.2,23-11-2020
RetailCorp,clothing,183.4,23-08-2019
RetailCorp,beauty,207.2,10-05-2025
RetailCorp,electronics,162.9,14-12-2026
RetailCorp,electronics,154.2,05-06-2028
RetailCorp,toys,288.4,27-01-2015
RetailCorp,food,194.8,30-04-2027
RetailCorp,toys,170.1,04-12-2022
RetailCorp,beauty,176.3,18-12-2016
RetailCorp,beauty,165.4,14-03-2025
RetailCorp,furniture,180,28-07-2025
RetailCorp,stationery,153,03-04-2020
RetailCorp,food,167.1,02-06-2032
RetailCorp,food,169.5,27-03-2028
RetailCorp,beauty,220.8,22-05-2018
RetailCorp,clothing,137.8,02-04-2021
RetailCorp,clothing,213.3,29-05-2020
RetailCorp,electronics,219.8,14-09-2018
RetailCorp,furniture,259.3,14-11-2015
RetailCorp,sports,170,12-08-2032
RetailCorp,clothing,182.8,01-03-2025
RetailCorp,beauty,257.4,02-11-2028
RetailCorp,food,157.6,12-09-2018
RetailCorp,sports,137.6,05-12-2023
RetailCorp,furniture,224.7,03-09-2033
RetailCorp,online,237.1,27-07-2031
RetailCorp,stationery,92.9,14-04-2016
RetailCorp,online,179.3,12-02-2015
RetailCorp,toys,212.8,12-12-2018
RetailCorp,stationery,209.7,27-01-2015
RetailCorp,toys,177.1,22-02-2018
RetailCorp,stationery,180.4,31-08-2019
RetailCorp,electronics,230.9,03-11-2028
RetailCorp,clothing,170.3,01-05-2027
RetailCorp,beauty,224.6,22-04-2028
RetailCorp,sports,147.1,17-09-2029
RetailCorp,stationery,206.1,04-06-2030
RetailCorp,stationery,352,04-10-2031
RetailCorp,food,227.6,04-12-2027
RetailCorp,sports,159.2,26-01-2021
RetailCorp,electronics,245.8,02-07-2029
RetailCorp,clothing,201.5,30-03-2030
RetailCorp,stationery,231.7,19-06-2032
RetailCorp,electronics,310.4,21-10-2016
RetailCorp,toys,288.4,24-03-2018
RetailCorp,beauty,195.3,16-02-2028
